Entire_MM,Entire_FC,Entire_ATESC,Entire_ACD,Entire_EXP,Entire_FP,Entire_PE,Gross_Margin
0,0,1,1,0,1,1,0.835714286
0,0,0,1,1,1,0,0.883333333
0,0,1,1,0,1,0,0.75
0,0,0,1,1,1,0,0.755
0,0,0,1,0,1,0,0.81875
1,0,1,1,1,1,1,0.745
1,0,1,1,1,1,1,0.896666667
0,0,0,1,1,1,1,0.845
0,0,1,1,0,1,1,0.755
0,0,1,1,0,1,1,0.745
0,0,1,1,1,1,1,0.90625
0,0,0,1,0,0,1,0.375
0,0,0,1,0,1,1,0.745
0,0,0,1,0,1,1,0.745
0,0,0,0,1,0,0,0.764285714
0,0,0,1,0,1,1,0.745
0,0,0,1,1,1,1,0.65
0,0,1,1,0,1,1,0.09375
0,0,0,0,1,0,1,0.583333333
0,0,1,1,1,1,0,0.875
1,0,0,1,0,1,1,0.325
0,0,0,1,1,0,0,0.55
0,0,1,1,1,1,1,0.83
0,0,1,1,0,0,1,0.475
0,0,0,1,0,1,1,0.375
0,0,1,0,0,0,0,0.525
0,1,1,0,1,1,1,0.677777778
0,0,0,1,1,1,1,0.6625
0,0,0,0,0,1,0,0.935
0,0,1,1,1,1,0,0.84375
1,0,0,1,1,1,1,0.86875
0,0,0,1,0,1,1,0.716666667
0,1,1,1,1,0,1,0.808333333
1,0,0,1,1,1,0,0.81
0,0,0,1,1,0,1,0.855
0,0,0,1,0,1,0,0.86875
0,0,0,1,0,0,1,0.936666667
0,0,0,1,0,1,0,0.835714286
1,0,1,1,1,0,1,0.806666667
0,0,0,1,1,1,1,0.583333333
1,0,1,1,1,1,0,0.75
0,0,0,1,1,1,1,0.916666667
0,0,0,1,1,1,1,0.93
0,0,0,1,0,0,0,0.85
1,0,1,0,1,0,0,0.65
0,0,0,1,1,1,1,0.683333333
0,0,1,1,1,1,1,0.935
1,1,1,1,1,1,1,0.783333333
0,0,1,1,0,0,1,0.583333333
0,0,0,1,0,1,0,0.86
0,0,1,0,1,1,1,0.85
0,0,1,0,1,1,1,0.858333333
0,1,1,0,1,1,1,0.83
0,0,1,0,1,1,1,0.83
0,0,0,0,1,1,1,0.8125
0,0,1,1,1,0,1,0.87
0,0,0,0,1,0,1,0.875
0,0,1,0,1,1,1,0.86875
0,0,0,1,1,1,1,0.7875
0,0,1,0,1,1,1,0.8375
0,0,0,0,1,1,1,0.87
0,0,0,0,1,0,1,0.8625
0,0,1,0,1,1,1,0.783333333
0,0,0,0,1,1,1,0.8375
0,0,0,1,1,1,1,0.8375
0,0,0,0,1,1,1,0.8375
0,0,0,0,1,1,1,0.8625
0,0,0,0,1,0,1,0.8375
0,0,1,1,0,1,0,0.932142857
1,0,0,1,0,1,1,0.876666667
1,1,0,1,0,1,1,0.81875
1,1,1,1,1,1,0,0.808333333
1,1,1,1,1,1,0,0.65
0,0,0,0,0,1,1,0.721428571
0,1,1,1,1,1,1,0.83125
0,1,1,1,1,1,0,0.88125
0,1,1,1,1,1,1,0.825
1,1,0,1,1,1,1,0.855
0,1,0,1,1,1,1,0.83125
1,0,0,1,1,1,1,0.883333333
0,1,0,1,1,1,1,0.83125
0,0,0,1,1,1,1,0.83125
0,0,0,1,1,1,1,0.83125
0,0,0,0,1,1,1,0.86875
1,0,0,1,1,1,1,0.808333333
0,0,0,1,1,0,1,0.904166667
1,0,1,0,1,0,0,0.625
0,0,1,0,1,0,0,0.95625
0,0,1,0,1,0,0,0.952083333
0,0,1,0,1,0,0,0.961666667
0,0,1,0,1,0,0,0.9475
1,0,0,1,1,1,1,0.920833333
1,0,1,1,1,0,1,0.895
0,0,0,0,0,1,1,0.872222222
0,0,0,0,1,1,0,0.8875
1,0,0,1,1,1,1,0.83125
0,0,0,0,1,1,1,0.8375
0,0,0,0,1,1,1,0.8375
1,0,0,1,1,1,0,0.83125
0,0,0,0,1,1,1,0.816666667
0,0,0,1,1,1,1,0.83125
0,0,0,0,1,1,1,0.816666667
0,0,0,0,1,1,1,0.745
1,1,0,1,1,1,1,0.892857143
0,0,0,1,1,1,1,0.83125
0,0,0,1,1,1,1,0.853846154
0,0,0,1,1,1,0,0.83125
0,0,0,0,1,1,1,0.783333333
1,0,0,1,1,1,1,0.823076923
0,0,0,0,1,1,1,0.8375
0,0,0,0,1,1,0,0.83125
0,0,0,0,0,1,0,0.845
0,0,0,0,1,1,1,0.8625
0,0,0,0,1,1,1,0.816666667
1,0,0,0,1,1,1,0.739583333
0,0,0,0,1,1,1,0.783333333
0,0,0,0,1,1,1,0.8375
0,0,0,0,1,1,1,0.916666667
0,0,0,0,1,0,0,0.883333333
1,1,1,1,1,0,0,0.583333333
0,0,0,0,1,1,1,0.8375
0,0,0,0,1,1,1,0.783333333
0,0,1,1,0,1,1,0.921428571
0,0,0,1,0,1,0,0.75
1,0,0,0,1,1,1,0.8625
0,0,0,1,0,0,0,0.8375
0,0,0,1,0,0,0,0.716666667
0,0,0,1,0,0,0,0.716666667
0,0,0,1,0,1,0,0.8125
0,0,0,1,0,1,0,0.75
0,0,0,1,0,1,0,0.75
0,0,0,1,0,1,0,0.625
1,0,0,1,0,1,1,0.8375
0,0,0,1,0,1,1,0.425
0,0,1,0,1,0,0,0.778571429
0,0,1,1,1,0,1,0.80625
0,0,1,0,1,0,1,0.741666667
0,0,1,1,0,1,1,0.88125
0,0,0,1,0,1,1,0.8375
0,0,1,0,1,0,0,0.807142857
0,1,1,0,1,1,0,0.875
0,0,1,1,1,1,0,0.815
1,0,1,0,1,0,0,0.903333333
0,0,1,0,1,0,0,0.879166667
1,0,1,1,0,1,1,0.828947368
0,0,1,0,1,0,0,0.879166667
0,1,1,1,0,0,1,0.69
0,0,0,1,0,1,0,0.814285714
0,0,0,0,1,1,1,0.715789474
0,0,0,1,0,1,0,0.855555556
0,1,1,0,0,1,1,0.845
0,0,0,1,0,1,1,0.8375
0,0,0,1,0,1,1,0.8375
0,0,0,1,0,1,0,0.8375
0,0,0,1,0,1,0,0.8375
0,1,1,1,0,1,0,0.8125
0,0,0,1,0,1,0,0.8375
0,0,0,1,0,1,0,0.8375
0,0,0,1,0,1,0,0.8375
0,0,0,1,0,1,0,0.855555556
0,0,1,1,0,1,1,0.87
0,0,1,1,0,0,0,0.79
0,0,0,0,1,0,0,0.7875
1,0,0,1,0,1,1,0.8375
1,0,1,0,1,0,0,0.954166667
1,1,1,1,1,0,0,0.9425
1,1,1,1,1,1,0,0.678571429
1,1,1,0,1,0,0,0.73
0,0,0,1,0,1,0,0.85
0,0,0,0,1,1,1,0.83
0,1,0,1,0,1,1,0.8375
1,1,1,0,1,0,0,0.75
0,0,1,0,1,0,0,0.9125
0,0,1,0,1,0,0,0.94375
1,0,1,0,1,0,1,0.75
0,0,1,0,1,0,0,0.80625
1,0,1,0,1,0,0,0.3
1,1,1,0,1,1,0,0.45
1,0,1,0,1,0,0,0.566666667
0,0,1,1,1,1,0,0.858333333
0,0,1,1,1,0,0,0.825
0,1,0,1,0,1,0,0.8375
1,0,0,1,0,1,0,0.8375
1,0,0,0,1,1,0,0.925
0,0,1,1,0,1,0,0.783333333
0,0,0,1,1,1,0,0.8375
0,0,0,1,0,0,0,0.35
0,0,0,1,0,0,1,0.416666667
0,0,0,1,0,1,0,0.675
0,0,1,1,1,1,1,0.922619048
0,0,1,0,1,0,0,0.75
0,0,0,1,0,1,0,0.8375
0,0,0,1,0,1,1,0.575
0,1,0,1,0,1,0,0.8375
0,0,0,1,0,1,0,0.855555556
0,0,1,0,1,1,1,0.965
1,0,0,0,1,1,1,0.7
0,0,0,1,1,1,1,0.75
1,0,0,1,0,1,1,0.778846154
0,0,1,1,0,1,1,0.77
1,0,0,1,1,1,1,0.73
0,1,0,1,0,1,0,0.8375
1,0,0,1,1,1,1,0.77
1,0,0,0,1,1,1,0.739583333
1,0,0,1,0,1,1,0.677777778
1,0,0,1,0,1,0,0.8375
0,0,1,1,0,1,0,0.8375
0,0,0,1,1,1,0,0.855555556
0,0,0,1,0,1,0,0.855555556
1,0,0,0,1,0,1,0.45
1,0,0,1,0,1,1,0.75
1,1,1,0,1,1,1,0.739583333
0,0,0,1,1,1,1,0.75
1,0,0,1,1,1,1,0.75
0,0,0,0,1,1,1,0.90625
0,0,0,1,0,1,0,0.8375
1,1,1,0,0,1,0,0.583333333
0,1,1,1,1,1,0,0.8375
0,0,1,0,1,0,0,0.4875
0,0,1,1,0,1,0,0.855555556
0,1,0,1,0,1,0,0.8375
0,0,0,0,1,1,1,0.609090909
0,0,0,1,0,1,0,0.8375
1,0,0,1,0,1,0,0.8375
0,1,0,1,0,1,0,0.8375
0,0,0,1,1,1,1,0.8375
0,0,0,0,1,1,1,0.8375
0,0,0,0,1,1,1,0.87
0,0,0,0,1,0,1,0.8625
0,0,0,0,1,1,1,0.783333333
0,0,0,0,1,1,1,0.8375
1,1,1,0,1,1,1,0.7125
0,0,0,0,1,0,1,0.816666667
0,0,0,1,0,1,0,0.8375
0,0,0,1,0,1,0,0.8375
0,0,0,1,0,1,0,0.8375
0,0,0,1,0,1,0,0.8375
0,1,0,1,0,1,0,0.8375
0,0,0,1,0,1,0,0.855555556
0,0,0,1,1,1,0,0.855555556
0,0,0,1,0,1,0,0.8125
0,0,0,1,0,1,0,0.855555556
0,0,0,1,0,1,0,0.855555556
0,0,0,1,0,1,0,0.7875
0,0,0,1,0,1,0,0.8375
1,0,0,1,0,1,0,0.855555556
0,0,0,1,0,1,0,0.8375
0,0,1,1,0,1,0,0.848837209
0,0,0,1,0,1,0,0.855555556
0,0,0,1,1,1,1,0.91
0,1,0,1,0,1,0,0.8375
0,1,1,1,0,1,0,0.8375
0,0,0,1,0,1,0,0.8375
0,0,1,1,1,1,0,0.69
1,0,1,1,0,1,0,0.8375
0,1,0,1,0,1,0,0.845238095
0,1,0,1,0,1,0,0.8375
0,1,1,1,0,1,1,0.8375
0,0,1,1,0,1,0,0.8375
0,1,0,1,0,1,0,0.828947368
0,0,0,1,0,1,1,0.855555556
0,1,1,1,1,1,0,0.8125
0,0,1,1,0,1,0,0.802631579
1,0,1,0,1,1,1,0.8625
1,1,1,0,1,1,1,0.8375
1,0,0,1,1,1,1,0.575
0,1,1,1,1,1,1,0.774509804
1,1,1,1,0,1,1,0.695121951
1,1,1,1,0,1,0,0.875
1,0,1,1,1,1,1,0.817307692
0,1,1,1,1,1,1,0.677777778
1,1,1,0,0,0,1,0.766666667
0,0,1,1,1,1,1,0.71
0,0,1,0,1,1,1,0.7875
0,1,1,0,1,0,0,0.91
0,0,1,0,1,0,1,0.325
0,0,0,0,1,1,1,0.960416667
0,0,1,1,1,1,0,0.794117647
1,0,1,1,0,1,0,0.6125
1,0,1,0,1,0,0,0.817647059
0,0,0,1,0,1,0,0.845
1,0,0,1,1,0,1,0.892857143
1,0,0,1,1,1,1,0.90625
1,0,0,1,1,1,1,0.892857143
1,0,0,1,0,1,1,0.892857143
1,0,0,1,1,1,0,0.925
1,0,0,1,1,1,1,0.90625
1,0,0,1,1,0,1,0.915
1,0,0,1,0,0,1,0.869230769
1,0,0,1,1,0,1,0.892857143
1,0,0,1,1,1,1,0.925
1,0,0,1,0,0,1,0.88125
1,0,0,1,0,1,1,0.90625
0,0,0,1,1,1,1,0.916666667
0,0,0,1,0,0,1,0.878571429
1,0,0,1,1,1,1,0.915
1,0,0,1,1,0,1,0.9375
1,0,0,1,0,0,1,0.915
1,0,0,1,1,0,1,0.89375
1,0,0,1,0,1,1,0.89375
1,0,0,1,0,0,1,0.89375
1,0,0,1,0,0,1,0.89375
1,0,0,1,0,1,1,0.90625
1,0,0,1,0,0,1,0.892857143
1,0,0,1,1,0,1,0.89375
1,0,0,1,1,1,1,0.905555556
1,0,0,1,0,0,1,0.915
1,0,0,1,1,0,1,0.89375
1,0,0,1,1,0,1,0.905
1,0,0,1,1,0,1,0.915
1,0,0,1,1,0,0,0.915
